"","studentid","surveydate","age","ehpw","hpw","hsleep","gpa","imp","gender","job","type","marital.status"
"322",16359,2018-02-02,30,20,19,6.43,62.51,4,"female","empl","part-time","divorced"
"323",26088,2018-05-10,28,21,15,6.86,51.33,3,"female","empl","part-time","divorced"
"324",9474,2018-02-12,30,20,26,5.43,81.93,5,"male","unempl","full-time","divorced"
"325",39319,2018-05-12,24,18,16,7.14,48.23,2,"female","empl","part-time","single"
"326",21253,2018-03-27,17,15,16,7.57,60.29,2,"female","empl","part-time","single"
"327",63845,2018-05-30,27,19,23,6,72.05,2,"male","unempl","full-time","divorced"
"328",25678,2018-05-10,24,21,23,5.71,77.63,5,"male","unempl","full-time","single"
"329",9431,2018-06-02,26,20,16,6.86,59.55,1,"female","empl","part-time","divorced"
"330",7017,2018-05-26,21,23,21,5.71,67.58,4,"male","unempl","full-time","single"
"331",18774,2018-04-30,29,21,15,6.86,52.45,2,"female","empl","part-time","divorced"
"332",87025,2018-03-21,23,23,22,5.57,67.09,1,"male","unempl","full-time","single"
"333",97785,2018-05-21,23,20,21,6.14,65.39,1,"male","unempl","full-time","single"
"334",38962,2018-01-22,24,23,21,5.71,54.98,4,"male","unempl","full-time","single"
"335",1784,2018-01-21,23,25,24,5,61.09,3,"male","unempl","full-time","single"
"336",4440,2018-05-26,18,22,16,6.57,46.96,5,"female","empl","part-time","single"
"337",10741,2018-04-29,21,20,16,6.86,44.76,2,"female","empl","part-time","single"
"338",56838,2018-01-09,27,22,18,6.29,61.74,1,"female","empl","part-time","divorced"
"339",83619,2018-05-21,26,20,17,6.71,56.37,3,"female","empl","part-time","divorced"
"340",81227,2018-01-18,25,20,21,6.14,65.25,1,"male","unempl","full-time","single"
"341",85892,2018-04-04,25,21,15,6.86,50.45,4,"female","empl","part-time","single"
"342",85026,2018-02-14,23,22,19,6.14,57.75,1,"female","empl","part-time","single"
"343",79678,2018-02-23,30,17,15,7.43,57.59,3,"female","empl","part-time","divorced"
"344",1967,2018-03-20,19,20,21,6.14,71.24,5,"male","unempl","full-time","single"
"345",52088,2018-04-04,28,25,17,6,56.75,3,"female","empl","part-time","divorced"
"346",36226,2018-03-09,25,22,23,5.57,68.22,3,"male","unempl","full-time","single"
"347",62482,2018-02-15,23,21,23,5.71,76.48,3,"male","unempl","full-time","single"
"348",91274,2018-01-08,24,21,25,5.43,75.97,2,"male","unempl","full-time","single"
"349",18219,2018-02-18,29,20,22,6,76.16,4,"male","unempl","full-time","divorced"
"350",44703,2018-05-19,18,18,15,7.29,50.79,5,"female","empl","part-time","single"
"351",25625,2018-05-19,26,17,18,7,65.71,2,"female","empl","part-time","divorced"
"352",59204,2018-02-08,23,20,17,6.71,53.63,2,"female","empl","part-time","single"
"353",39509,2018-06-05,26,17,21,6.57,69.73,2,"male","unempl","full-time","divorced"
"354",87053,2018-05-21,25,21,21,6,66.8,1,"male","unempl","full-time","single"
"355",17437,2018-01-07,22,20,22,6,63.28,2,"male","unempl","full-time","single"
"356",80664,2018-03-01,29,22,22,5.71,61.78,5,"male","unempl","full-time","divorced"
"357",79140,2018-01-09,23,21,17,6.57,58.28,4,"female","empl","part-time","single"
"358",60273,2018-05-02,24,21,16,6.71,52.39,5,"female","empl","part-time","single"
"359",5198,2018-01-24,32,15,16,7.57,67.94,2,"female","empl","part-time","divorced"
"360",68885,2018-06-02,20,20,22,6,60.98,1,"male","unempl","full-time","single"
"361",15087,2018-04-10,28,22,18,6.29,54.22,1,"female","empl","part-time","divorced"
"362",19985,2018-01-17,23,23,22,5.57,70.92,1,"male","unempl","full-time","single"
"363",10312,2018-01-30,25,19,17,6.86,55.39,2,"female","empl","part-time","single"
"364",1262,2018-05-10,31,22,18,6.29,62.48,4,"female","empl","part-time","divorced"
"365",65017,2018-04-14,26,18,19,6.71,59.19,4,"female","empl","part-time","divorced"
"366",24116,2018-01-18,22,19,21,6.29,67.15,2,"male","unempl","full-time","single"
"367",12847,2018-04-04,28,24,20,5.71,59.18,2,"male","unempl","full-time","divorced"
"368",5811,2018-03-17,25,19,25,5.71,79.52,3,"male","unempl","full-time","single"
"369",70423,2018-02-22,23,16,15,7.57,51.87,5,"female","empl","part-time","single"
"370",3044,2018-02-15,22,26,22,5.14,65.3,3,"male","unempl","full-time","single"
"371",87707,2018-02-16,24,21,21,6,63.42,3,"male","unempl","full-time","single"
"372",1626,2018-01-16,31,21,23,5.71,70.21,1,"male","unempl","full-time","divorced"
"373",50817,2018-01-15,24,27,21,5.14,56.05,1,"male","unempl","full-time","single"
"374",64194,2018-02-15,23,21,19,6.29,53.04,4,"female","empl","part-time","single"
"375",69417,2018-04-29,24,19,23,6,68.28,1,"male","unempl","full-time","single"
"376",65547,2018-05-26,31,20,19,6.43,53.69,2,"female","empl","part-time","divorced"
"377",25556,2018-06-05,26,24,25,5,72.07,4,"male","unempl","full-time","divorced"
"378",99402,2018-02-13,26,24,29,4.43,84.72,2,"male","unempl","full-time","single"
"379",69013,2018-02-23,25,25,23,5.14,65.79,4,"male","unempl","full-time","single"
"380",5046,2018-01-09,22,18,16,7.14,59.6,5,"female","empl","part-time","single"
"381",10128,2018-01-14,22,25,21,5.43,57.18,4,"male","unempl","full-time","single"
"382",47834,2018-02-23,30,22,18,6.29,49.31,3,"female","empl","part-time","divorced"
"383",46761,2018-02-09,17,20,20,6.29,60.4,4,"male","unempl","full-time","single"
"384",26518,2018-02-27,24,24,19,5.86,57.73,5,"female","empl","part-time","single"
"385",8892,2018-04-28,22,24,20,5.71,59.57,2,"male","unempl","full-time","single"
"386",60911,2018-04-22,25,18,19,6.71,61.49,3,"female","empl","part-time","single"
"387",39348,2018-05-04,23,19,29,5.14,89.33,3,"male","unempl","full-time","single"
"388",53754,2018-03-05,18,14,21,7,84.41,5,"male","unempl","full-time","single"
"389",85827,2018-06-07,34,15,24,6.43,79.36,3,"male","unempl","full-time","divorced"
"390",74949,2018-02-22,32,26,15,6.14,51.74,4,"female","empl","part-time","divorced"
"391",75526,2018-01-14,23,17,13,7.71,47.67,4,"female","empl","part-time","single"
"392",92029,2018-05-16,32,24,25,5,71.41,1,"male","unempl","full-time","divorced"
"393",32769,2018-03-24,27,20,23,5.86,71.66,2,"male","unempl","full-time","divorced"
"394",15577,2018-06-07,28,20,23,5.86,64.53,1,"male","unempl","full-time","divorced"
"395",21435,2018-03-08,20,27,23,4.86,52.7,1,"male","unempl","full-time","single"
"396",11238,2018-02-06,23,21,18,6.43,54.56,5,"female","empl","part-time","single"
"397",19501,2018-01-17,24,17,21,6.57,74.67,1,"male","unempl","full-time","single"
"398",85426,2018-05-23,25,14,19,7.29,61.62,1,"female","empl","part-time","single"
"399",22681,2018-02-10,23,21,17,6.57,51.74,4,"female","empl","part-time","single"
"400",76397,2018-03-07,19,18,24,6,72.21,1,"male","unempl","full-time","single"
"401",61468,2018-01-15,24,16,20,6.86,65.48,5,"male","unempl","full-time","single"
"402",56679,2018-05-09,31,18,20,6.57,59.15,2,"male","unempl","full-time","divorced"
"403",15336,2018-04-07,22,20,20,6.29,66.19,5,"male","unempl","full-time","single"
"404",3470,2018-03-28,27,22,21,5.86,53.3,1,"male","unempl","full-time","divorced"
"405",99393,2018-05-17,25,21,18,6.43,50.47,3,"female","empl","part-time","single"
"406",83219,2018-02-15,23,24,18,6,59.13,5,"female","empl","part-time","single"
"407",58419,2018-01-08,26,23,17,6.29,60.38,5,"female","empl","part-time","divorced"
"408",33774,2018-02-10,26,14,24,6.57,86.18,1,"male","unempl","full-time","single"
"409",16621,2018-02-21,29,13,22,7,80.47,1,"male","unempl","full-time","divorced"
"410",80411,2018-03-31,32,19,20,6.43,68.54,2,"male","unempl","full-time","divorced"
"411",64679,2018-05-27,22,22,24,5.43,77.65,3,"male","unempl","full-time","single"
"412",70272,2018-05-03,25,18,19,6.71,66.06,1,"female","empl","part-time","single"
"413",44964,2018-01-08,28,16,18,7.14,63.95,5,"female","empl","part-time","divorced"
"414",7192,2018-05-31,24,20,19,6.43,55.19,1,"female","empl","part-time","single"
"415",36147,2018-05-29,27,20,23,5.86,73.03,2,"male","unempl","full-time","divorced"
"416",64436,2018-04-09,21,17,27,5.71,94.21,3,"male","unempl","full-time","single"
"417",72255,2018-01-11,27,26,23,5,67.27,1,"male","unempl","full-time","divorced"
"418",42071,2018-03-25,21,20,20,6.29,63.25,4,"male","unempl","full-time","single"
"419",58898,2018-01-19,24,24,21,5.57,70.07,5,"male","unempl","full-time","single"
"420",79456,2018-04-03,27,26,24,4.86,61.25,2,"male","unempl","full-time","divorced"
"421",84406,2018-02-26,24,25,19,5.71,60.29,2,"female","empl","part-time","single"
"422",67,2018-02-20,17,25,20,5.57,50.13,1,"male","unempl","full-time","single"
"423",29872,2018-01-29,23,21,25,5.43,77.68,3,"male","unempl","full-time","single"
"424",69096,2018-05-09,17,24,20,5.71,60.94,3,"male","unempl","full-time","single"
"425",95969,2018-05-07,16,20,17,6.71,62.47,4,"female","empl","part-time","single"
"426",12922,2018-03-27,27,21,16,6.71,57.64,5,"female","empl","part-time","divorced"
"427",7544,2018-02-19,23,23,22,5.57,54.19,5,"male","unempl","full-time","single"
"428",56513,2018-01-26,29,19,24,5.86,77.82,3,"male","unempl","full-time","divorced"
"429",55278,2018-05-02,27,19,26,5.57,82,3,"male","unempl","full-time","divorced"
"430",6135,2018-03-30,21,26,21,5.29,62.17,3,"male","unempl","full-time","single"
"431",67128,2018-02-12,28,23,21,5.71,69.59,4,"male","unempl","full-time","divorced"
"432",91008,2018-01-13,28,23,21,5.71,68.52,5,"male","unempl","full-time","divorced"
"433",88394,2018-04-11,33,20,21,6.14,63.32,1,"male","unempl","full-time","divorced"
"434",32340,2018-03-25,24,20,19,6.43,56.69,4,"female","empl","part-time","single"
"435",9227,2018-06-02,23,22,16,6.57,51.64,1,"female","empl","part-time","single"
"436",82751,2018-03-01,27,13,21,7.14,80.78,4,"male","unempl","full-time","divorced"
"437",12667,2018-05-27,24,25,16,6.14,51.79,2,"female","empl","part-time","single"
"438",86490,2018-04-28,31,21,21,6,64.13,2,"male","unempl","full-time","divorced"
"439",94893,2018-04-15,33,20,17,6.71,50.85,5,"female","empl","part-time","divorced"
"440",49696,2018-05-09,22,23,20,5.86,63.17,5,"male","unempl","full-time","single"
"441",65186,2018-04-02,27,20,19,6.43,58.93,5,"female","empl","part-time","divorced"
"442",19294,2018-03-24,29,20,23,5.86,77.82,5,"male","unempl","full-time","divorced"
"443",75949,2018-05-31,25,20,24,5.71,76.55,2,"male","unempl","full-time","single"
"444",54500,2018-04-21,21,23,21,5.71,62.39,1,"male","unempl","full-time","single"
"445",21289,2018-01-27,23,23,18,6.14,49.35,3,"female","empl","part-time","single"
"446",68869,2018-04-05,24,22,19,6.14,60.74,1,"female","empl","part-time","single"
"447",96848,2018-04-28,27,21,18,6.43,56.04,3,"female","empl","part-time","divorced"
"448",55366,2018-04-26,25,24,17,6.14,45.53,1,"female","empl","part-time","single"
"449",52572,2018-02-15,21,17,18,7,56.34,3,"female","empl","part-time","single"
"450",21563,2018-02-02,19,20,19,6.43,54.21,3,"female","empl","part-time","single"
"451",67751,2018-06-06,19,23,19,6,56.2,4,"female","empl","part-time","single"
"452",74266,2018-03-21,26,24,19,5.86,62.12,4,"female","empl","part-time","divorced"
"453",46211,2018-03-02,23,22,23,5.57,72.52,5,"male","unempl","full-time","single"
"454",13680,2018-03-12,22,21,18,6.43,55.03,4,"female","empl","part-time","single"
"455",81069,2018-03-13,29,19,16,7,54.86,2,"female","empl","part-time","divorced"
"456",82838,2018-05-16,30,21,28,5,79.83,3,"male","unempl","full-time","divorced"
"457",35270,2018-05-12,27,15,23,6.57,73.08,4,"male","unempl","full-time","divorced"
"458",97427,2018-02-20,29,25,24,5,71.74,2,"male","unempl","full-time","divorced"
"459",98351,2018-04-25,21,18,18,6.86,58.47,1,"female","empl","part-time","single"
"460",63175,2018-05-22,23,17,24,6.14,82.87,4,"male","unempl","full-time","single"
"461",93782,2018-01-18,25,21,18,6.43,58.45,4,"female","empl","part-time","single"
"462",1395,2018-04-04,23,22,17,6.43,60.91,4,"female","empl","part-time","single"
"463",2522,2018-03-02,27,23,16,6.43,41.54,1,"female","empl","part-time","divorced"
"464",48407,2018-02-23,18,22,27,5,78.78,4,"male","unempl","full-time","single"
"465",26661,2018-04-14,22,22,30,4.57,91.5,5,"male","unempl","full-time","single"
"466",76053,2018-03-31,25,20,23,5.86,72.63,1,"male","unempl","full-time","single"
"467",48579,2018-01-08,21,22,19,6.14,50.6,2,"female","empl","part-time","single"
"468",74341,2018-03-07,22,24,18,6,50.46,4,"female","empl","part-time","single"
"469",4237,2018-02-07,25,18,17,7,66.96,3,"female","empl","part-time","single"
"470",43858,2018-05-13,24,17,22,6.43,61.1,1,"male","unempl","full-time","single"
"471",14538,2018-03-05,24,19,22,6.14,76.61,5,"male","unempl","full-time","single"
"472",43987,2018-01-30,28,23,16,6.43,49.26,2,"female","empl","part-time","divorced"
"473",28278,2018-01-26,18,22,18,6.29,56.3,5,"female","empl","part-time","single"
"474",7328,2018-01-11,22,22,20,6,66.71,2,"male","unempl","full-time","single"
"475",68211,2018-01-29,29,15,20,7,74.46,1,"male","unempl","full-time","divorced"
"476",79105,2018-04-08,27,16,22,6.57,73.7,1,"male","unempl","full-time","divorced"
"477",53565,2018-04-16,25,21,23,5.71,66.09,3,"male","unempl","full-time","single"
"478",2448,2018-04-10,30,19,21,6.29,63.12,4,"male","unempl","full-time","divorced"
"479",27699,2018-02-28,31,26,20,5.43,54.94,2,"male","unempl","full-time","divorced"
"480",83692,2018-04-10,18,20,19,6.43,54.5,2,"female","empl","part-time","single"
"481",46517,2018-03-03,26,20,20,6.29,59.08,5,"male","unempl","full-time","divorced"
"482",75656,2018-05-08,22,23,18,6.14,55.17,4,"female","empl","part-time","single"
"483",99326,2018-05-23,27,17,29,5.43,98.97,5,"male","unempl","full-time","single"
"484",77408,2018-06-07,24,22,21,5.86,60.25,1,"male","unempl","full-time","single"
"485",87531,2018-04-08,23,16,22,6.57,73.32,1,"male","unempl","full-time","single"
"486",49114,2018-01-10,29,22,19,6.14,53.5,5,"female","empl","part-time","divorced"
"487",70528,2018-05-22,23,20,14,7.14,51.65,5,"female","empl","part-time","single"
"488",48520,2018-02-21,25,23,19,6,53.93,1,"female","empl","part-time","single"
"489",77823,2018-05-15,23,20,24,5.71,75.21,3,"male","unempl","full-time","single"
"490",90736,2018-02-05,27,24,19,5.86,56.45,5,"female","empl","part-time","divorced"
"491",28460,2018-04-29,26,23,21,5.71,56.06,5,"male","unempl","full-time","divorced"
"492",60539,2018-03-02,23,20,24,5.71,72.43,4,"male","unempl","full-time","single"
"493",53834,2018-03-01,22,23,19,6,46.21,5,"female","empl","part-time","single"
"494",99154,2018-03-16,22,28,16,5.71,34.62,2,"female","empl","part-time","single"
"495",60783,2018-04-18,25,17,14,7.57,38.52,3,"female","empl","part-time","single"
"496",20936,2018-05-14,21,18,17,7,57.21,3,"female","empl","part-time","single"
"497",31603,2018-04-19,23,21,15,6.86,50.22,2,"female","empl","part-time","single"
"498",90136,2018-05-12,21,19,23,6,73.75,1,"male","unempl","full-time","single"
"499",32187,2018-06-07,19,22,16,6.57,45.45,3,"female","empl","part-time","single"
"500",55811,2018-04-26,23,15,17,7.43,65.01,5,"female","empl","part-time","single"
"501",68855,2018-02-16,20,22,21,5.86,63.57,2,"male","unempl","full-time","single"
"502",55716,2018-02-06,26,23,26,5,78.4,5,"male","unempl","full-time","divorced"
"503",34098,2018-05-25,26,18,26,5.71,91.6,4,"male","unempl","full-time","single"
"504",23332,2018-02-22,28,15,21,6.86,71.28,5,"male","unempl","full-time","divorced"
"505",42744,2018-03-29,22,21,20,6.14,65.79,5,"male","unempl","full-time","single"
"506",73299,2018-04-02,16,25,20,5.57,57.91,2,"male","unempl","full-time","single"
"507",37277,2018-02-04,28,21,22,5.86,70.09,4,"male","unempl","full-time","divorced"
"508",48621,2018-02-02,26,19,15,7.14,53.27,3,"female","empl","part-time","divorced"
"509",79645,2018-06-03,31,21,19,6.29,63.59,1,"female","empl","part-time","divorced"
"510",67957,2018-05-07,24,23,20,5.86,60.27,4,"male","unempl","full-time","single"
"511",68219,2018-04-23,20,24,20,5.71,56.29,4,"male","unempl","full-time","single"
"512",9417,2018-01-07,29,23,20,5.86,53.61,1,"male","unempl","full-time","divorced"
"513",37875,2018-01-06,22,27,19,5.43,51.84,5,"female","empl","part-time","single"
"514",40489,2018-04-01,32,18,25,5.86,87.35,2,"male","unempl","full-time","single"
"515",38580,2018-02-15,21,18,20,6.57,69.34,1,"male","unempl","full-time","single"
"516",58888,2018-05-14,26,22,25,5.29,66.62,4,"male","unempl","full-time","divorced"
"517",83225,2018-03-19,27,23,22,5.57,59.7,5,"male","unempl","full-time","divorced"
"518",51783,2018-03-30,30,17,22,6.43,76.74,5,"male","unempl","full-time","divorced"
"519",42975,2018-01-03,17,19,23,6,75.41,5,"male","unempl","full-time","single"
"520",88014,2018-03-26,21,20,16,6.86,53.58,2,"female","empl","part-time","single"
"521",90564,2018-06-01,27,21,16,6.71,51.69,5,"female","empl","part-time","divorced"
"522",5327,2018-04-27,31,21,23,5.71,75.31,5,"male","unempl","full-time","divorced"
"523",45842,2018-05-03,29,21,15,6.86,43.73,4,"female","empl","part-time","divorced"
"524",71358,2018-04-26,29,18,21,6.43,70.32,4,"male","unempl","full-time","divorced"
"525",37177,2018-02-19,24,22,16,6.57,49.06,3,"female","empl","part-time","single"
"526",2976,2018-01-29,22,21,13,7.14,47.33,1,"female","empl","part-time","single"
"527",2762,2018-02-20,21,21,22,5.86,59.4,3,"male","unempl","full-time","single"
"528",69528,2018-03-09,27,22,18,6.29,61.2,2,"female","empl","part-time","divorced"
"529",25744,2018-04-10,35,25,16,6.14,41.68,3,"female","empl","part-time","divorced"
"530",88597,2018-01-24,26,26,25,4.71,76.92,5,"male","unempl","full-time","divorced"
"531",8042,2018-01-27,29,23,20,5.86,56.93,5,"male","unempl","full-time","divorced"
"532",95057,2018-02-20,27,24,14,6.57,33.47,1,"female","empl","part-time","married"
"533",96810,2018-02-17,23,22,18,6.29,51.51,4,"female","empl","part-time","single"
"534",13942,2018-05-11,25,24,23,5.29,66.94,3,"male","unempl","full-time","single"
"535",67419,2018-03-24,20,19,22,6.14,68.16,4,"male","unempl","full-time","single"
"536",78697,2018-04-15,30,19,16,7,61.1,4,"female","empl","part-time","divorced"
"537",69730,2018-03-27,22,19,21,6.29,70.04,3,"male","unempl","full-time","single"
"538",27050,2018-01-31,20,25,18,5.86,46.96,1,"female","empl","part-time","single"
"539",48276,2018-05-19,30,27,19,5.43,55.3,1,"female","empl","part-time","divorced"
"540",87241,2018-05-14,26,19,17,6.86,60.85,4,"female","empl","part-time","divorced"
"541",325,2018-04-14,19,21,18,6.43,44.95,1,"female","empl","part-time","single"
"542",95294,2018-02-05,33,26,21,5.29,52.87,1,"male","unempl","full-time","divorced"
"543",47860,2018-03-12,28,21,24,5.57,76.65,2,"male","unempl","full-time","divorced"
"544",95494,2018-05-28,21,24,17,6.14,45.09,5,"female","empl","part-time","single"
"545",49916,2018-02-25,28,23,17,6.29,51.22,2,"female","empl","part-time","divorced"
"546",2223,2018-01-03,23,21,16,6.71,48.97,4,"female","empl","part-time","single"
"547",10963,2018-05-23,29,20,20,6.29,56.98,3,"male","unempl","full-time","divorced"
"548",74348,2018-04-29,18,17,19,6.86,69.55,4,"female","empl","part-time","single"
"549",59579,2018-02-08,26,19,25,5.71,81.96,2,"male","unempl","full-time","divorced"
"550",77615,2018-01-19,31,24,18,6,49.94,2,"female","empl","part-time","divorced"
"551",94058,2018-04-23,17,18,18,6.86,69.33,2,"female","empl","part-time","single"
"552",35593,2018-05-29,27,26,21,5.29,53.5,1,"male","unempl","full-time","divorced"
"553",48316,2018-04-08,24,25,13,6.57,30.51,2,"female","empl","part-time","married"
"554",52352,2018-02-22,23,25,20,5.57,57.13,5,"male","unempl","full-time","single"
"555",84366,2018-04-03,29,19,18,6.71,60.91,1,"female","empl","part-time","divorced"
"556",49838,2018-05-18,17,26,18,5.71,52.67,5,"female","empl","part-time","single"
"557",34265,2018-05-10,20,19,21,6.29,70.18,5,"male","unempl","full-time","single"
"558",57966,2018-03-27,31,23,26,5,73,2,"male","unempl","full-time","divorced"
"559",52387,2018-01-30,34,22,20,6,71.1,4,"male","unempl","full-time","divorced"
"560",90193,2018-04-05,25,19,14,7.29,41.5,1,"female","empl","part-time","single"
"561",97364,2018-03-20,32,26,22,5.14,62.29,5,"male","unempl","full-time","divorced"
"562",1459,2018-03-07,23,19,26,5.57,84.01,2,"male","unempl","full-time","single"
"563",73783,2018-03-08,27,23,17,6.29,51.02,4,"female","empl","part-time","divorced"
"564",99773,2018-05-16,25,21,15,6.86,49.1,5,"female","empl","part-time","single"
"565",89454,2018-01-03,24,21,24,5.57,75.23,4,"male","unempl","full-time","single"
"566",31036,2018-04-04,27,20,21,6.14,70.19,2,"male","unempl","full-time","divorced"
"567",26344,2018-04-19,25,22,22,5.71,61.06,5,"male","unempl","full-time","single"
"568",54876,2018-03-14,34,18,16,7.14,59.3,1,"female","empl","part-time","divorced"
"569",90637,2018-05-30,25,18,19,6.71,64.76,5,"female","empl","part-time","single"
"570",10682,2018-03-13,30,20,18,6.57,56.14,5,"female","empl","part-time","divorced"
"571",94737,2018-01-19,23,23,21,5.71,63.89,1,"male","unempl","full-time","single"
"572",57758,2018-05-03,26,15,19,7.14,73.22,3,"female","empl","part-time","divorced"
"573",87452,2018-05-31,24,22,19,6.14,62.75,1,"female","empl","part-time","single"
"574",80218,2018-05-29,19,19,17,6.86,58.64,2,"female","empl","part-time","single"
"575",49959,2018-04-02,27,22,18,6.29,61.12,2,"female","empl","part-time","divorced"
"576",83122,2018-02-27,28,23,20,5.86,63.89,2,"male","unempl","full-time","divorced"
"577",89894,2018-05-25,23,18,21,6.43,69.92,2,"male","unempl","full-time","single"
"578",250,2018-05-01,22,24,26,4.86,80.5,5,"male","unempl","full-time","single"
"579",46029,2018-01-31,23,20,17,6.71,61.5,4,"female","empl","part-time","single"
"580",19271,2018-05-30,28,23,24,5.29,71.93,5,"male","unempl","full-time","divorced"
"581",12876,2018-04-30,23,22,18,6.29,55.07,3,"female","empl","part-time","single"
"582",13186,2018-06-05,26,26,19,5.57,50.85,1,"female","empl","part-time","divorced"
"583",71732,2018-02-14,25,11,18,7.86,72.5,5,"female","empl","part-time","single"
"584",58498,2018-05-17,24,23,19,6,46.08,3,"female","empl","part-time","single"
"585",53240,2018-02-08,20,20,23,5.86,75.89,2,"male","unempl","full-time","single"
"586",75262,2018-02-03,27,23,22,5.57,64.12,4,"male","unempl","full-time","divorced"
"587",40551,2018-04-13,24,16,21,6.71,82.73,4,"male","unempl","full-time","single"
"588",8674,2018-05-04,26,27,20,5.29,53.3,2,"male","unempl","full-time","divorced"
"589",92612,2018-05-24,21,20,20,6.29,62.22,1,"male","unempl","full-time","single"
"590",71893,2018-01-20,27,24,23,5.29,65.63,4,"male","unempl","full-time","divorced"
"591",35951,2018-04-09,24,21,22,5.86,83.71,5,"male","unempl","full-time","single"
"592",43620,2018-06-06,22,23,24,5.29,70.23,5,"male","unempl","full-time","single"
"593",65835,2018-02-18,17,25,21,5.43,62.09,1,"male","unempl","full-time","single"
"594",3184,2018-01-01,24,20,21,6.14,67.09,4,"male","unempl","full-time","single"
"595",1788,2018-05-22,16,21,19,6.29,62.25,3,"female","empl","part-time","single"
"596",73473,2018-05-21,23,21,19,6.29,51.19,2,"female","empl","part-time","single"
"597",8477,2018-03-02,26,19,16,7,58.51,2,"female","empl","part-time","divorced"
"598",22877,2018-05-13,25,26,22,5.14,55.92,1,"male","unempl","full-time","single"
"599",24537,2018-05-06,20,27,15,6,35.98,2,"female","empl","part-time","single"
"600",2682,2018-05-21,29,21,24,5.57,69.22,1,"male","unempl","full-time","divorced"
"601",99888,2018-01-17,29,20,24,5.71,77.72,2,"male","unempl","full-time","divorced"
"602",8807,2018-04-16,26,17,19,6.86,68.77,2,"female","empl","part-time","divorced"
"603",37394,2018-05-03,27,23,19,6,55.12,3,"female","empl","part-time","divorced"
"604",22346,2018-05-12,30,20,16,6.86,53.41,2,"female","empl","part-time","divorced"
"605",80684,2018-02-03,24,15,20,7,73.2,2,"male","unempl","full-time","single"
"606",14071,2018-01-31,22,20,21,6.14,62.9,4,"male","unempl","full-time","single"
"607",2951,2018-02-25,24,21,15,6.86,47.84,1,"female","empl","part-time","single"
"608",22347,2018-01-27,24,13,17,7.71,73.4,1,"female","empl","part-time","single"
"609",76331,2018-01-14,28,23,24,5.29,67.54,3,"male","unempl","full-time","divorced"
"610",63385,2018-04-04,28,21,19,6.29,58.44,4,"female","empl","part-time","divorced"
"611",78061,2018-06-07,21,20,25,5.57,78.26,4,"male","unempl","full-time","single"
"612",33158,2018-04-30,22,19,16,7,62.84,5,"female","empl","part-time","single"
"613",57372,2018-01-18,29,23,25,5.14,79.96,4,"male","unempl","full-time","divorced"
"614",25310,2018-05-02,20,18,21,6.43,65.08,2,"male","unempl","full-time","single"
"615",81648,2018-04-02,22,16,23,6.43,83.89,4,"male","unempl","full-time","single"
"616",26799,2018-01-16,25,23,18,6.14,55.77,2,"female","empl","part-time","single"
"617",88729,2018-03-26,29,20,22,6,70.67,2,"male","unempl","full-time","divorced"
"618",66102,2018-05-17,25,23,14,6.71,40.89,5,"female","empl","part-time","single"
"619",24635,2018-01-30,26,23,18,6.14,52.03,3,"female","empl","part-time","divorced"
"620",97746,2018-03-01,25,22,20,6,59.22,2,"male","unempl","full-time","single"
"621",69252,2018-04-06,28,25,24,5,65.55,3,"male","unempl","full-time","divorced"
"622",66279,2018-02-18,23,23,22,5.57,61.25,2,"male","unempl","full-time","single"
"623",31783,2018-04-28,27,27,14,6.14,41.31,5,"female","empl","part-time","divorced"
"624",34224,2018-04-08,18,22,18,6.29,57.48,2,"female","empl","part-time","single"
"625",30590,2018-05-03,25,22,19,6.14,58.16,2,"female","empl","part-time","single"
"626",2459,2018-01-03,26,26,20,5.43,54.51,1,"male","unempl","full-time","divorced"
"627",2404,2018-01-03,26,23,18,6.14,50.86,1,"female","empl","part-time","divorced"
"628",80540,2018-02-03,26,24,21,5.57,56.1,3,"male","unempl","full-time","divorced"
"629",28274,2018-01-29,25,17,19,6.86,67.45,3,"female","empl","part-time","single"
"630",22455,2018-01-16,28,21,17,6.57,59.51,2,"female","empl","part-time","divorced"
"631",67843,2018-03-10,25,23,20,5.86,67.58,5,"male","unempl","full-time","single"
"632",37760,2018-01-15,27,16,18,7.14,56.89,2,"female","empl","part-time","divorced"
"633",88263,2018-03-16,24,24,20,5.71,52.75,2,"male","unempl","full-time","single"
"634",64285,2018-03-31,28,24,18,6,38.79,2,"female","empl","part-time","divorced"
"635",54338,2018-02-18,29,20,13,7.29,51.23,3,"female","empl","part-time","divorced"
"636",66092,2018-02-19,19,17,23,6.29,83.85,3,"male","unempl","full-time","single"
"637",53181,2018-04-21,26,24,20,5.71,58.04,4,"male","unempl","full-time","divorced"
"638",17370,2018-02-19,28,25,21,5.43,52.3,1,"male","unempl","full-time","divorced"
"639",41782,2018-03-23,31,18,20,6.57,71.25,1,"male","unempl","full-time","divorced"
"640",48886,2018-03-06,19,19,16,7,54.67,5,"female","empl","part-time","single"
"641",30706,2018-01-29,28,27,17,5.71,51.64,1,"female","empl","part-time","divorced"
"642",90388,2018-02-24,24,20,19,6.43,66.03,4,"female","empl","part-time","single"
"643",85654,2018-05-10,20,20,17,6.71,56.4,4,"female","empl","part-time","single"
"644",27561,2018-05-15,24,20,13,7.29,49.08,5,"female","empl","part-time","single"
"645",81635,2018-02-28,24,21,19,6.29,56.37,5,"female","empl","part-time","single"
